Company ID,Country code,Country,Archive standard coding,ROE,ROA,Fixed assets ratio,Current ratio,Log total assets,Debt equity ratio,GDP pc (eur),GDP pc (PPS),GDP growth,Interest rate,Inflation rate,Public debt over GDP,Tourism intensity,ITE over GDP,Trips,Nights
925,9,Italy,IT,0.0285986363887787,0.0156306587159634,3.5312659740448,1.13072967529297,3.63817381858826,15.4262361526489,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
926,9,Italy,IT,0.210847854614258,0.0508762560784817,2.77285575866699,0.676875114440918,4.33902359008789,3.36029839515686,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
927,9,Italy,IT,0.0703784227371216,0.0196575447916985,5.26870441436768,0.627052307128906,3.77220344543457,6.16568374633789,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
928,9,Italy,IT,0.039517916738987,0.0291131809353828,0.902631044387817,0.189855054020882,4.35657405853272,3.36143612861633,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
929,9,Italy,IT,0.069146178662777,0.00906916335225105,4.1171350479126,0.444588452577591,3.84162163734436,19.1335163116455,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
930,9,Italy,IT,0.163167327642441,0.0340252406895161,2.23393082618713,0.533709824085236,4.10518169403076,6.97331762313843,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
931,9,Italy,IT,0.0697141587734222,0.0285087302327156,1.25708711147308,0.131646290421486,4.97174835205078,2.64873123168945,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
932,9,Italy,IT,0.15337660908699,0.0398563593626022,2.83062219619751,0.679083287715912,3.66494750976563,4.50542497634888,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
933,9,Italy,IT,0.0630108043551445,0.0334151312708855,3.55211210250855,1.04139256477356,3.76683235168457,0.952425837516785,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
934,9,Italy,IT,0.423196941614151,0.120206572115421,4.25554513931274,1.1316739320755,3.76503777503967,2.62810921669006,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
935,9,Italy,IT,-2.51458311080933,-0.0687337443232536,13.1332740783691,0.333266913890839,2.66905093193054,30.9535808563232,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
936,9,Italy,IT,5.84088039398193,-0.303872883319855,1.00964391231537,0.0562773421406746,4.09327077865601,-19.4110908508301,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
937,9,Italy,IT,0.3864805996418,0.0857919305562973,2.10350346565247,0.317192882299423,3.85881423950195,4.82269906997681,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
938,9,Italy,IT,0.177059501409531,0.0919709578156471,4.39291191101074,1.44577133655548,3.757807970047,0.966947793960571,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
939,9,Italy,IT,0.139344394207001,0.0362201295793057,4.34984254837036,1.05073869228363,3.58059859275818,5.00286483764648,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
940,9,Italy,IT,0.0585651472210884,0.0235915128141642,3.63981318473816,0.832822620868683,3.98075270652771,1.96131455898285,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
941,9,Italy,IT,0.0279958955943584,0.0254323463886976,1.15408146381378,0.15246693789959,4.07123804092407,2.178382396698,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
942,9,Italy,IT,0.765514552593231,0.499050617218018,13.6994609832764,0.418064594268799,2.65703868865967,0.538014888763428,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
943,9,Italy,IT,0.110501557588577,0.031060092151165,8.41506099700928,0.804018318653107,4.06752777099609,11.5960988998413,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
944,9,Italy,IT,0.166006490588188,0.147084549069405,2.55766439437866,4.53717708587647,4.06942367553711,0.139444246888161,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
945,9,Italy,IT,-0.0356337204575539,-0.0298662707209587,0.764669358730316,0.25068211555481,4.21837902069092,0.192712962627411,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
946,9,Italy,IT,0.0209533013403416,0.010777622461319,1.39334547519684,0.0681502819061279,3.92995047569275,8.58098030090332,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
947,9,Italy,IT,0.315940260887146,0.0720717236399651,5.03868627548218,0.982405722141266,3.57225847244263,4.70994997024536,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
948,9,Italy,IT,0.854006946086884,0.27156525850296,2.40663456916809,0.291442394256592,4.1786961555481,2.1735372543335,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
949,9,Italy,IT,0.191085085272789,0.0367139056324959,2.30744194984436,0.662331342697144,3.75862765312195,4.60172080993652,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
950,9,Italy,IT,0.135627970099449,-0.144276157021523,0.0512581057846546,0.026235319674015,4.48405838012695,-1.85068941116333,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
951,9,Italy,IT,-0.0419431105256081,0.00474640354514122,0.290845721960068,0.280131042003632,4.44996500015259,2.07985806465149,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
952,9,Italy,IT,0.097404807806015,0.0321909636259079,2.5395667552948,0.407345861196518,4.74932193756104,11.3526592254639,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
